Symbol,Name,Exchange,Type,Category,Currency,Unit,LastPrice,YearLow,YearHigh,MarketCapitalisation,AverageDailyVolume
AUB.AX,Austbrokers Holdings Limited,ASX,equity,Accident & Health Insurance,,,,,,,
SFG,StanCorp Financial Group Inc.,NYQ,equity,Accident & Health Insurance,,,,,,,
AMIC,American Independence Corp.,NGM,equity,Accident & Health Insurance,,,,,,,
GTS,Triple-S Management Corporation,NYQ,equity,Accident & Health Insurance,,,,,,,
LRE.L,Lancashire Holdings Limited,LSE,equity,Accident & Health Insurance,,,,,,,
AIZ,Assurant Inc.,NYQ,equity,Accident & Health Insurance,,,,,,,
NHF.AX,NIB Holdings Limited,ASX,equity,Accident & Health Insurance,,,,,,,
PRA,ProAssurance Corporation,NYQ,equity,Accident & Health Insurance,,,,,,,
AFL,AFLAC Inc.,NYQ,equity,Accident & Health Insurance,,,,,,,
MIC.TO,Genworth MI Canada Inc.,TOR,equity,Accident & Health Insurance,,,,,,,
UNM,Unum Group,NYQ,equity,Accident & Health Insurance,,,,,,,
FAC,First Acceptance Corp.,NYQ,equity,Accident & Health Insurance,,,,,,,
DCS.MU,JC DECAUX,MUN,equity,Advertising Agencies,,,,,,,
XBTC,Xhibit Corp.,PNK,equity,Advertising Agencies,,,,,,,
VISN,VisionChina Media Inc.,NMS,equity,Advertising Agencies,,,,,,,
QXQ.AX,Q Limited,ASX,equity,Advertising Agencies,,,,,,,
PUB.PA,Publicis Groupe SA,PAR,equity,Advertising Agencies,,,,,,,
SAX.BE,STROEER MEDIA,BER,equity,Advertising Agencies,,,,,,,
TRS.L,Tarsus Group plc,LSE,equity,Advertising Agencies,,,,,,,
DEN.DU,DENTSU,DUS,equity,Advertising Agencies,,,,,,,
PHRM.L,Phorm Corporation Limited,LSE,equity,Advertising Agencies,,,,,,,
DCS.SG,JC DECAUX,STU,equity,Advertising Agencies,,,,,,,
OMC,Omnicom Group Inc.,NYQ,equity,Advertising Agencies,,,,,,,
DEC.PA,JCDecaux SA,PAR,equity,Advertising Agencies,,,,,,,
FUEL,Rocket Fuel Inc.,NMS,equity,Advertising Agencies,,,,,,,
SZMK,Sizmek Inc.,NMS,equity,Advertising Agencies,,,,,,,
SPN.V,Snipp Interactive Inc.,VAN,equity,Advertising Agencies,,,,,,,
KITM,Kitara Media Corp.,OBB,equity,Advertising Agencies,,,,,,,
WPP.L,WPP plc,LSE,equity,Advertising Agencies,,,,,,,
MAA.TO,MagIndustries Corp.,TOR,equity,Agricultural Chemicals,,,,,,,
MOS,The Mosaic Company,NYQ,equity,Agricultural Chemicals,,,,,,,
SMG,The Scotts Miracle-Gro Company,NYQ,equity,Agricultural Chemicals,,,,,,,
AVD,American Vanguard Corp.,NYQ,equity,Agricultural Chemicals,,,,,,,
MON,Monsanto Company,NYQ,equity,Agricultural Chemicals,,,,,,,
RCF.NS,Rashtriya Chemicals And Fertilizers Limited,NSI,equity,Agricultural Chemicals,,,,,,,
AGU,Agrium Inc.,NYQ,equity,Agricultural Chemicals,,,,,,,
SYT,Syngenta AG,NYQ,equity,Agricultural Chemicals,,,,,,,
NOEC,New Oriental Energy & Chemical Corp,PNK,equity,Agricultural Chemicals,,,,,,,
POC.MU,POTASH SASKATCHEWAN,MUN,equity,Agricultural Chemicals,,,,,,,
MEGH.NS,Meghmani Organics Limited,NSI,equity,Agricultural Chemicals,,,,,,,
ST.TO,Stonegate Agricom Ltd.,TOR,equity,Agricultural Chemicals,,,,,,,
NUF.AX,Nufarm Limited,ASX,equity,Agricultural Chemicals,,,,,,,
GRVO.PA,Graines Voltz,PAR,equity,Agricultural Chemicals,,,,,,,
DD,E. I. du Pont de Nemours and Company,NYQ,equity,Agricultural Chemicals,,,,,,,
IPL.AX,Incitec Pivot Limited,ASX,equity,Agricultural Chemicals,,,,,,,
AGU.TO,Agrium Inc.,TOR,equity,Agricultural Chemicals,,,,,,,
ICP.TO,IC Potash Corp.,TOR,equity,Agricultural Chemicals,,,,,,,
KRN.TO,Karnalyte Resources Inc.,TOR,equity,Agricultural Chemicals,,,,,,,
NFL.BO,National Fertilizers Ltd.,BSE,equity,Agricultural Chemicals,,,,,,,
GOP.V,Gourmet Ocean Products Inc.,VAN,equity,Agricultural Chemicals,,,,,,,
YONGY,Yongnam Holdings Limited,PNK,equity,Agricultural Chemicals,,,,,,,
MGO.TO,Migao Corporation,TOR,equity,Agricultural Chemicals,,,,,,,
MBC.TO,MBAC Fertilizer Corp,TOR,equity,Agricultural Chemicals,,,,,,,
JLWT,Janel World Trade Ltd.,PNK,equity,Air Delivery & Freight Services,,,,,,,
EXPD,Expeditors International of Washington Inc.,NMS,equity,Air Delivery & Freight Services,,,,,,,
AIRT,Air T Inc.,NCM,equity,Air Delivery & Freight Services,,,,,,,
FWRD,Forward Air Corp.,NMS,equity,Air Delivery & Freight Services,,,,,,,
GPW.V,Grand Power Logistics Group Inc.,VAN,equity,Air Delivery & Freight Services,,,,,,,
GND.PA,Norbert Dentressangle S.A.,PAR,equity,Air Delivery & Freight Services,,,,,,,
WNL.F,WILH. WILHELMSEN,FRA,equity,Air Delivery & Freight Services,,,,,,,
NRINTER.BO,NR International Ltd.,BSE,equity,Air Delivery & Freight Services,,,,,,,
CGOA.SG,MODUSLINK GLBL SOLS,STU,equity,Air Delivery & Freight Services,,,,,,,
CNR,China Metro-Rural Holdings Limited,ASE,equity,Air Delivery & Freight Services,,,,,,,
TOL.AX,Toll Holdings Limited,ASX,equity,Air Delivery & Freight Services,,,,,,,
XUN.SG,SHUN TAK HLDGS,STU,equity,Air Delivery & Freight Services,,,,,,,
PVI.V,Pro trans Ventures Inc.,VAN,equity,Air Delivery & Freight Services,,,,,,,
XJL.F,CHINA MET-RURAL HLD,FRA,equity,Air Delivery & Freight Services,,,,,,,
FRE.NZ,Freightways Limited,NZE,equity,Air Delivery & Freight Services,,,,,,,
DPW.DE,Deutsche Post AG,GER,equity,Air Delivery & Freight Services,,,,,,,
KPL.F,KEPPEL TEL & TRANSP,FRA,equity,Air Delivery & Freight Services,,,,,,,
KSC.AX,K & S Corporation Limited,ASX,equity,Air Delivery & Freight Services,,,,,,,
MFT.NZ,Mainfreight Limited,NZE,equity,Air Delivery & Freight Services,,,,,,,
QUB.AX,Qube Holdings Limited,ASX,equity,Air Delivery & Freight Services,,,,,,,
HUBG,Hub Group Inc.,NMS,equity,Air Delivery & Freight Services,,,,,,,
CHRW,CH Robinson Worldwide Inc.,NMS,equity,Air Delivery & Freight Services,,,,,,,
UTIW,UTi Worldwide Inc.,NMS,equity,Air Delivery & Freight Services,,,,,,,
XUN.F,SHUN TAK HLDGS,FRA,equity,Air Delivery & Freight Services,,,,,,,
WGI.V,Wheels Group Inc.,VAN,equity,Air Delivery & Freight Services,,,,,,,
RMG.L,Royal Mail plc,LSE,equity,Air Delivery & Freight Services,,,,,,,
CONCOR.NS,Container Corporation of India Ltd.,NSI,equity,Air Delivery & Freight Services,,,,,,,
FDX,FedEx Corporation,NYQ,equity,Air Delivery & Freight Services,,,,,,,
XUN.MU,SHUN TAK HLDGS,MUN,equity,Air Delivery & Freight Services,,,,,,,
ACH,Aluminum Corporation Of China Limited,NYQ,equity,Aluminum,,,,,,,
ORT.TO,Orbite Aluminae Inc,TOR,equity,Aluminum,,,,,,,
WMC.MU,ALUMINA SP ADR,MUN,equity,Aluminum,,,,,,,
WMC.SG,ALUMINA SP ADR,STU,equity,Aluminum,,,,,,,
NOR,Noranda Aluminum Holding Corp.,NYQ,equity,Aluminum,,,,,,,
ACHN.MX,Aluminum Corporation Of China Limited,MEX,equity,Aluminum,,,,,,,
HINDALCO.NS,Hindalco Industries Ltd.,NSI,equity,Aluminum,,,,,,,
HINDALCO.BO,Hindalco Industries Ltd.,BSE,equity,Aluminum,,,,,,,
AA,Alcoa Inc.,NYQ,equity,Aluminum,,,,,,,
CENX,Century Aluminum Co.,NMS,equity,Aluminum,,,,,,,
RUSAL.PA,United Company RUSAL Plc,PAR,equity,Aluminum,,,,,,,
NATIONALU.NS,National Aluminium Co. Ltd.,NSI,equity,Aluminum,,,,,,,
KALU,Kaiser Aluminum Corporation,NMS,equity,Aluminum,,,,,,,
NXT.L,Next Plc,LSE,equity,Apparel Stores,,,,,,,
GPS.V,BSM Technologies Inc.,VAN,equity,Apparel Stores,,,,,,,
GCO,Genesco Inc.,NYQ,equity,Apparel Stores,,,,,,,
CBK,Christopher & Banks Corporation,NYQ,equity,Apparel Stores,,,,,,,
VCH.MU,CHARLES VOEGELE,MUN,equity,Apparel Stores,,,,,,,
SFH.AX,Specialty Fashion Group Limited,ASX,equity,Apparel Stores,,,,,,,
URBN,Urban Outfitters Inc.,NMS,equity,Apparel Stores,,,,,,,
NXG.SG,NEXT,STU,equity,Apparel Stores,,,,,,,
RET-A.TO,Reitmans Canada Ltd.,TOR,equity,Apparel Stores,,,,,,,
DSW,DSW Inc.,NYQ,equity,Apparel Stores,,,,,,,
IXD.SG,INDITEX,STU,equity,Apparel Stores,,,,,,,
CATO,The Cato Corporation,NYQ,equity,Apparel Stores,,,,,,,
ANN,ANN INC.,NYQ,equity,Apparel Stores,,,,,,,
CHKE,Cherokee Inc.,NMS,equity,Apparel Stores,,,,,,,
NWY,New York & Company Inc.,NYQ,equity,Apparel Stores,,,,,,,
SMRT,Stein Mart Inc.,NMS,equity,Apparel Stores,,,,,,,
ULC.DE,UNITEDLABELS Aktiengesellschaft,GER,equity,Apparel Stores,,,,,,,
RSO.SG,ROSS STORES,STU,equity,Apparel Stores,,,,,,,
ASNA,Ascena Retail Group Inc.,NMS,equity,Apparel Stores,,,,,,,
IXD.MU,INDITEX,MUN,equity,Apparel Stores,,,,,,,
JYE.F,JOYCE BOUTIQUE,FRA,equity,Apparel Stores,,,,,,,
KMD.AX,Kathmandu Holdings Limited,ASX,equity,Apparel Stores,,,,,,,
EXPR,Express Inc.,NYQ,equity,Apparel Stores,,,,,,,
ROST,Ross Stores Inc.,NMS,equity,Apparel Stores,,,,,,,
SSI,Stage Stores Inc.,NYQ,equity,Apparel Stores,,,,,,,
ANF,Abercrombie & Fitch Co.,NYQ,equity,Apparel Stores,,,,,,,
PSUN,Pacific Sunwear of California Inc.,NMS,equity,Apparel Stores,,,,,,,
SCVL,Shoe Carnival Inc.,NMS,equity,Apparel Stores,,,,,,,
DEST,Destination Maternity Corporation,NMS,equity,Apparel Stores,,,,,,,
BODY,Body Central Corp.,PNK,equity,Apparel Stores,,,,,,,
TTI.F,TOM TAILOR HLDG N,FRA,equity,Apparel Stores,,,,,,,
JWN,Nordstrom Inc.,NYQ,equity,Apparel Stores,,,,,,,
LUX,Luxottica Group SpA,NYQ,equity,Apparel Stores,,,,,,,
IXD.DE,Industria de Diseno Textil SA,GER,equity,Apparel Stores,,,,,,,
CTU-A.TO,Le Chateau Inc.,TOR,equity,Apparel Stores,,,,,,,
CACH,Cache Inc.,NMS,equity,Apparel Stores,,,,,,,
IRBT,iRobot Corporation,NMS,equity,Appliances,,,,,,,
WHR,Whirlpool Corp.,NYQ,equity,Appliances,,,,,,,
AVRN,Avra Inc.,OBB,equity,Appliances,,,,,,,
IMMR,Immersion Corporation,NMS,equity,Application Software,,,,,,,
EXNT,Enxnet Inc.,PNK,equity,Application Software,,,,,,,
RALY,Rally Software Development Corp.,NYQ,equity,Application Software,,,,,,,
QADA,QAD Inc.,NMS,equity,Application Software,,,,,,,
MATR,Mattersight Corporation,NGM,equity,Application Software,,,,,,,
